mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
TUSC7_HG_1	2105	135	0.9568	0.0544983256909	0.0570766320946955
RMST_MUSMUSCULUS_1	2687	216	1.0459	-0.135794330214	0.0585304696332429
LINC00951_HG_1	3122	753	0.4673	-0.0715257148182	0.832238835138259
MASCRNA_HOMOSAPIENS_1	61	60	1.0666	0.194102354259	0.0906316895991677
RNCR3_MM_1	2998	396	0.7485	-0.152154029967	0.129475562771091
EGO_HOMOSAPIENS_1	1529	261	0.8369	0.0017322308356	0.109402628610303
CCAT2_HG_1	1752	207	0.5765	-0.242832173362	0.0060902687924156
BORG_MM_1	2846	363	0.4997	-0.0532983292712	0.074176285565115
LXRBSV_MUSMUSCULUS_1	1632	1128	1.2787	0.574669717751	0.999996617976856
LXRBSV_MUSMUSCULUS_2	677	372	0.614	-0.115798130462	0.0919650276556149
PTENP1_HOMOSAPIENS_1	3932	1110	0.8839	0.0852148483663	0.999643368462516
PCAT-1_HG_1	1992	465	1.0059	0.128699240089	0.819522012110603
ERIC_HG_1	1028	51	1.0648	-0.401725096155	0.00227951893840232
RIAN_MUSMUSCULUS_1	3584	252	0.772	0.0033625946841	0.0741890187537654
RIAN_HOMOSAPIENS_2	498	147	0.8061	0.0680905714672	0.0465646684552651
PINT_MM_1	1714	294	0.7842	-0.191597936641	0.0434114538030381
LUCAT1_HG_1	890	210	0.7521	-0.101210152314	0.0279388183089841
LUCAT1_HG_2	582	171	0.8659	-0.0334108208704	0.0404994106427383
RAB4B-EGLN2_HG_1	2849	1224	0.8238	0.405110269936	0.999983419766525
YAM-1_MM10_1	1831	366	0.8703	0.211805740838	0.610930100704269
SAF_HG_1	1554	231	0.742	-0.16526265804	0.0224365862158654
BRAVEHEART_MM_1	1071	225	0.7592	0.0552972829709	0.0818626832891876
REPA-TRANSCRIPT_MM_1	1630	318	0.4774	-0.470758678507	0.0037916593258866
LINC1547_MUSMUSCULUS_1	3446	381	0.762	0.0183843379043	0.265695152980958
MSX1AS_MUSMUSCULUS_1	2188	333	0.498	-0.125801193699	0.0366281500656969
DLEU2_HG_1	2768	603	0.9073	0.181336990864	0.952302846066742
LSINCT5_HG_1	2647	339	0.5607	0.012906850254	0.102494799795587
LNCRNA-CIR_HG_1	1497	438	0.855	0.0506230303458	0.560752607888978
XIST_HG_1	19271	411	0.6629	-0.128371451379	0.0583697837032966
PGSF1_HG_1	3452	291	0.7052	-0.188120287979	0.0300980876077023
SOX2OT_MM_1	636	210	0.5253	0.0097050210286	0.0254755925935852
NPC48_ARABIDOPSISTHALIANA_1	981	123	0.7978	-0.104084503763	0.0122774452621759
LINC1257_MUSMUSCULUS_1	1246	207	0.871	-0.0997579466965	0.0397797680771848
LINC1257_MUSMUSCULUS_2	737	207	0.871	-0.128612707595	0.0345230919143662
PTENP1-ASRNAS_HG_1	873	336	0.4453	-0.193572272332	0.0228235293873269
HOTAIR_HG_1	2337	321	0.9457	0.218891787719	0.555506255163897
LNCRNA-BGL3_HG_1	993	156	0.6948	-0.395229792953	0.00214834581697435
SFRNA_WNV_1	592	102	0.7307	0.0692022648472	0.022291505175798
MEGAMIND_DANIORERIO_1	3302	366	0.5794	-0.082832775341	0.0816480539128963
MEGAMIND_DANIORERIO_2	1402	291	0.5842	0.156961934666	0.156648080994458
MEGAMIND_HOMOSAPIENS_3	6075	339	1.2232	-0.0715868107073	0.357381020736013
MEGAMIND_HOMOSAPIENS_4	601	114	0.8908	-0.0743144206246	0.0185920785875531
MEGAMIND_MUSMUSCULUS_5	3214	198	1.1488	0.212493368932	0.36819882492978
AIR_MUSMUSCULUS_1	604	105	0.9493	0.101046848067	0.057253565415371
UM9-5_HG_1	9848	213	0.4704	-0.396226945551	0.00114829533510977
CAR-INTERGENIC-10_HG_1	2375	303	0.7877	0.0112789171274	0.143683713182567
BACE1AS_MUSMUSCULUS_1	1254	129	1.0577	-0.254099553885	0.0127436908574384
BACE1AS_HOMOSAPIENS_2	798	84	0.7463	-0.492080611545	0.000644800017428971
BACE1AS_HOMOSAPIENS_3	807	81	1.1715	-0.0641723899467	0.03497297107892
BACE1AS_MUSMUSCULUS_4	2025	129	1.0577	-0.254099553885	0.0122226287348912
TIP3_MM_1	864	192	0.8922	0.00781455459737	0.0688290945044274
MISTRAL_MUSMUSCULUS_1	798	177	0.6399	-0.232180186536	0.00608944756751749
OTX2OS1_MUSMUSCULUS_1	743	213	1.1708	-0.157154994268	0.0828729815913363
OTX2OS1_HOMOSAPIENS_2	2440	288	0.3935	-0.380470223545	0.00335975189767351
MEG9_MUSMUSCULUS_1	3813	306	0.6116	0.056556782299	0.103159909893202
LINC00538_HG_1	1906	207	0.788	-0.27211690324	0.0104357255936425
BC200_HOMOSAPIENS_1	200	0	0	0	0.000393728786066918
ZFHX2AS_MM_1	2488	396	0.7713	-0.109091072571	0.176866040101793
RNCS-1_CE_1	802	306	0.6178	0.0316602248572	0.106480430644515
PCNA-AS1_HG_1	384	174	1.2634	0.0638140609013	0.23858222891926
NKX2.2AS_MUSMUSCULUS_1	4346	291	0.4912	-0.109361780025	0.0222803379502126
UCA1_HG_1	2314	246	0.3982	-0.255369332633	0.00458598503949598
LINCRNA-COX2_MUSMUSCULUS_1	1746	231	0.7012	-0.242555129675	0.0121936133862712
IFNG-AS1_HG_1	70	9	0.705	-0.00450448753705	0.00482688216349438
IFNG-AS1_MM_1	1121	177	0.9024	-0.137613478925	0.0257292324365803
SNHG5_HG_1	524	114	0.6813	-0.227787844097	0.00362766552027635
JPX_HOMOSAPIENS_1	1696	204	1.1837	0.19767861805	0.411156946995095
JPX_MUSMUSCULUS_2	3786	174	0.5092	-0.417086637436	0.00104249269013969
SNHG6_HG_1	472	90	0.8381	-0.163983439514	0.00700926069461537
SNHG1_HG_1	1134	159	0.8759	-0.191494191924	0.0140018091031339
SCHLAP1_HG_1	1436	102	0.988	0.228133598349	0.121757907810303
SNHG3_HG_1	2346	411	0.5167	-0.17233495522	0.0676378372889518
21A_HOMOSAPIENS_1	324	0	0	0	0.000391061916430695
BETA2.7-RNA_HPV5_1	2504	339	0.6209	0.115853424048	0.209202680723036
DUHGS_DROSOPHILAMELANOGASTER_1	1043	168	0.7534	-0.361191156315	0.00368117885142902
DUHGS_DROSOPHILAMELANOGASTER_2	382	111	0.9321	-0.187218721263	0.0106596341022202
DUHGS_DROSOPHILAMELANOGASTER_3	490	198	0.8907	0.160437093395	0.168513726930483
DUHGS_DROSOPHILAMELANOGASTER_4	466	150	0.6476	-0.0704714799698	0.0124793685533296
DUHGS_DROSOPHILAMELANOGASTER_5	833	99	1.0407	-0.265066128564	0.00826362511068135
DUHGS_DROSOPHILAMELANOGASTER_6	421	198	0.5207	-0.214762110856	0.00579654823885927
DUHGS_DROSOPHILAMELANOGASTER_7	496	96	0.8335	-0.232296209976	0.00487826289840376
ADAPT33_CRICETULUSGRISEUS_1	1290	138	0.5823	0.104900728238	0.0238589285657865
ADAPT33_MUSMUSCULUS_2	626	120	0.7589	0.109960377071	0.0377987416630407
ADAPT33_MUSMUSCULUS_3	3505	294	0.6107	-0.0976791115449	0.0384565237242155
Y-RNAS_HG_1	113	0	0	0	0.000395610740987553
AFAP1AS_HG_1	6795	588	0.5902	-0.0127667431233	0.582833491950515
HOXA6AS_HOMOSAPIENS_1	2354	444	0.7821	-0.00252722618203	0.423242753443392
HULC_HOMOSAPIENS_1	500	219	0.9365	0.147968474697	0.217620972824659
LINC1242_MUSMUSCULUS_1	1775	270	0.5029	0.00112212922088	0.0405154597608229
LINC1242_MUSMUSCULUS_2	1631	270	0.5029	0.00112212922088	0.0408235130240985
CDR1-AS_HOMOSAPIENS_1	1502	456	1.0665	-0.0631910219116	0.618631774547082
