mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000449992.5	1506	1506	0.9795	0.296247873535	0.999999256578815
ENST00000534633.5	610	315	1.2864	0.317697631105	0.88334988695399
ENST00000523588.1	426	195	0.6064	-0.286397487171	0.0048796137361463
ENST00000569394.5	566	525	1.2666	0.449298537067	0.99398061653138
ENST00000393583.6	3791	3264	0.9566	0.397872059952	1
ENST00000631818.1	595	468	1.051	0.497290857096	0.982284798332672
ENST00000368414.6	1771	348	0.8875	-0.084673158479	0.184418801931321
ENST00000254079.8	1845	615	1.053	0.487647079137	0.996088445400585
ENST00000445474.2	575	444	0.9914	0.109561346148	0.766695679277369
ENST00000244230.6	2484	2046	1.0748	0.272952790869	0.999999998453006
ENST00000301904.3	3510	1821	1.1766	0.452721298966	0.999999995202848
ENST00000444776.1	594	465	1.058	0.210407959356	0.90595320298084
ENST00000368332.7	1889	1377	0.7964	0.0429371452778	0.999971892264629
ENST00000510878.1	849	468	0.8206	-0.000553811040075	0.546426960944789
ENST00000517745.1	391	195	1.3459	0.42464894429	0.824643376291383
ENST00000429075.1	857	618	0.903	0.0977123211964	0.939592373590612
ENST00000524061.1	440	57	0.9753	-0.428559081543	0.0015725252507383
ENST00000475532.1	417	267	1.1838	0.0605817266794	0.39751738285778
ENST00000477960.1	762	225	0.7734	0.0704533174597	0.0945382910506845
ENST00000477386.1	724	471	1.1146	0.148204649546	0.8949975154211
ENST00000423664.5	793	444	1.159	0.500703726486	0.984157637252448
ENST00000436577.3	4787	1023	0.804	0.101766582537	0.998822568380267
ENST00000335854.8	1795	1653	1.1685	0.365439185474	0.99999995004544
ENST00000366090.6	734	330	1.0266	-0.0427272949612	0.289631998980486
ENST00000614889.1	2210	1041	0.512	-0.117458409471	0.991414272988139
ENST00000569635.1	474	153	0.5355	0.0153103970734	0.0147177277094515
ENST00000593700.5	1118	522	1.0555	0.345694621295	0.9755532606898
ENST00000524095.5	709	84	0.9512	-0.508271806246	0.00118957019282375
ENST00000549856.5	913	381	0.8564	0.0781675541886	0.452767955835585
ENST00000482623.5	625	201	1.1314	0.413908087625	0.689509954177593
ENST00000557425.1	582	39	0.9251	-0.247984674924	0.00320466452654185
ENST00000513890.1	1518	1092	1.1802	0.542380096257	0.999991411122857
ENST00000503389.1	287	138	1.318	0.511985493832	0.794118591976437
ENST00000393272.7	2752	2199	0.9501	0.0904308084426	0.999999998681191
ENST00000527064.1	572	216	1.0973	0.331312120393	0.5865664059172
ENST00000631733.1	1101	828	0.8485	0.124350183159	0.993657807324262
ENST00000480925.1	649	384	1.1347	0.470099660529	0.960692732256981
ENST00000395505.6	3960	2565	0.761	0.0506254955194	0.999999999942638
ENST00000533389.1	593	303	0.9152	0.326491100279	0.66038101441835
ENST00000253727.9	1998	1383	1.2134	0.583072162002	0.999999763128059
ENST00000258888.5	10917	5724	0.8561	0.333489068999	1
ENST00000520233.1	563	84	1.1582	0.126372625835	0.103381359882958
ENST00000503824.1	578	162	1.0017	-0.117848506598	0.0352344075583011
ENST00000428081.1	936	936	0.8102	0.0490499413115	0.996606622247783
ENST00000506996.5	588	480	0.9093	0.116269355585	0.794045948309816
ENST00000485188.1	756	66	1.0542	-0.180015241514	0.0100516017898985
ENST00000460465.5	2333	1224	0.8412	0.475218265269	0.999990080430312
ENST00000460654.5	830	357	1.231	0.270592685126	0.881378432838646
ENST00000586390.5	566	252	1.0436	0.17876310244	0.41145754605405
ENST00000367229.5	2246	1431	1.0546	0.436059615094	0.9999994079296
ENST00000554047.1	755	261	0.6154	-0.366947171241	0.00633560308358634
ENST00000477188.1	607	111	0.6269	0.164293372681	0.0304155041381921
ENST00000503328.1	433	171	0.7952	0.193723134414	0.116875283093196
ENST00000558505.5	543	267	1.0586	0.328007141875	0.6831956074683
ENST00000392393.7	1603	732	0.6297	0.165701873581	0.969210422983168
ENST00000560038.5	541	198	0.6807	0.0239392277831	0.0410437731940317
ENST00000482661.1	696	402	0.8926	-0.0214207280602	0.395992272196969
ENST00000372454.6	581	300	1.2609	0.569801926769	0.964437416464193
ENST00000422689.2	2230	1734	0.9779	0.0710024586291	0.999999761943988
ENST00000455976.6	1935	495	1.0236	0.219336783642	0.921499758101232
ENST00000409148.1	2126	1569	1.35	0.563323312269	0.999999979041114
ENST00000553566.5	391	114	1.2807	0.533751157695	0.746346934653914
ENST00000510044.1	670	114	0.812	-0.0872134712638	0.0131259931324592
ENST00000457799.1	414	78	0.684	-0.335023592968	0.00128759546846496
ENST00000463939.1	647	156	0.7758	0.0222159928634	0.035245428872955
ENST00000509153.5	1521	1308	0.9484	0.347669475851	0.999994445107417
ENST00000619045.1	1802	564	0.9993	0.111505568449	0.924424333631405
ENST00000481281.5	721	636	0.8166	0.309707156694	0.980956013003488
ENST00000544807.6	2528	1770	0.7497	0.0618643708205	0.999999624529182
ENST00000614472.5	1982	813	0.8552	-0.00721814569766	0.983089207843882
ENST00000478563.1	700	360	0.8568	0.212681298225	0.59986128240846
ENST00000461056.5	555	84	1.0318	-0.6657112573	0.000609615035778434
ENST00000613493.4	1644	1644	1.1032	0.107351707566	0.99999967142322
ENST00000525100.1	547	480	1.1617	0.388528525897	0.979646635163553
ENST00000579335.1	131	39	1.1602	0.277179335034	0.152136763766583
ENST00000404869.7	505	333	0.8388	-0.0351044008031	0.189667393798897
ENST00000463791.1	557	177	0.7999	-0.347034534995	0.00533935766238102
ENST00000511435.1	1894	495	0.9606	0.182667421782	0.883444138099675
ENST00000543524.5	656	462	1.1424	0.56522627416	0.990735968205355
ENST00000254850.11	1396	864	1.0749	0.456520604954	0.999735365278573
ENST00000461549.1	816	654	0.4329	-0.00459363202521	0.712591760078107
ENST00000412007.1	102	24	0.5972	-0.485216797882	0.000213565551026654
ENST00000508092.5	637	384	0.9586	0.0471116590281	0.505761919446331
ENST00000376627.6	1055	480	1.015	-0.0823864170419	0.618396991553024
ENST00000338415.7	1739	1086	0.717	0.116882606514	0.999393393974035
