mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENST00000270176.9	2642	2427	1.2321	0.516769641862	0.999999999997089
ENST00000533611.1	1395	1395	0.8847	0.231555183405	0.999994747894867
ENST00000570504.5	274	135	1.0335	0.507468161243	0.5766288729773
ENST00000574708.5	385	168	0.7636	0.0536761569888	0.0468837910367692
ENST00000515015.1	493	246	0.9835	0.395978215818	0.665939992607306
ENST00000368012.3	3502	1533	1.196	0.435600802673	0.999999875202634
ENST00000590751.5	1700	429	0.739	0.0915068595411	0.495154809939515
ENST00000465234.1	842	618	0.6929	0.0800293322141	0.871422787172764
ENST00000358635.7	3036	1602	1.1035	0.0891325504406	0.999999366975995
ENST00000587990.1	600	444	1.0201	0.385206781416	0.950734078186362
ENST00000496729.2	910	612	1.0554	0.375451599306	0.992497923265762
ENST00000303902.9	1491	1380	1.1025	-0.0164281271154	0.999986726897643
ENST00000485654.1	428	219	0.8234	0.287029621889	0.305413515768083
ENST00000610774.1	5178	513	0.6311	0.141998681035	0.660189914059382
ENST00000526627.1	2332	519	0.5609	-0.0824152932897	0.328168612206074
ENST00000592674.1	566	222	1.0479	0.255342711328	0.446691217980693
ENST00000637832.1	701	534	1.0065	0.344592147451	0.975108561843068
ENST00000480109.2	2037	1512	1.0766	0.252317530902	0.999999331449042
ENST00000442102.6	1967	1605	1.144	0.434516715146	0.999999938266048
ENST00000558041.5	828	564	1.295	0.426719160038	0.995887378826533
ENST00000601714.5	2086	1758	1.2838	0.538512956061	0.999999996313671
ENST00000460615.1	511	357	0.6566	-0.074344620299	0.114033285185181
ENST00000523808.5	597	588	0.9215	0.0478476581038	0.898815531310334
ENST00000366473.3	948	948	1.1701	0.259360896229	0.999759605150917
ENST00000453776.5	561	273	1.0395	0.410487002185	0.78062396266815
ENST00000569466.1	1417	1026	0.9867	0.464372699954	0.999944093745289
ENST00000439464.6	3743	558	0.8846	0.163003717115	0.904443061461433
ENST00000634465.1	744	138	1.199	0.605689922275	0.815068361157864
ENST00000417645.1	522	198	1.125	-0.0532967110647	0.110339686825959
ENST00000413946.1	574	72	0.674	-0.33993039423	0.00111940520524538
ENST00000487300.1	611	357	1.1887	0.498504532804	0.962844264056144
ENST00000548932.5	575	408	0.9957	0.238821499023	0.830079952144866
ENST00000555641.1	1804	690	1.1937	0.320099294054	0.997127013191091
ENST00000518610.1	379	207	0.9415	0.2303315648	0.291075610117915
ENST00000564514.2	586	282	1.1607	0.463396101552	0.891629014468647
ENST00000556822.1	581	282	1.0135	0.0293915359602	0.262441170596838
ENST00000458542.1	409	327	1.165	0.294182328636	0.833221585723235
ENST00000489534.5	610	339	0.871	-0.0403843048477	0.212178397081933
ENST00000598850.5	677	222	1.3126	0.534676696777	0.915861935785792
ENST00000425563.5	1103	978	0.7583	0.276259477119	0.999353392190088
ENST00000492397.1	746	366	0.8683	0.0770044779823	0.422092307384327
ENST00000432847.1	75	39	1.3148	-0.0693187719276	0.0361038998294043
ENST00000480207.5	185	93	0.9803	0.267455693265	0.142349683473562
ENST00000576862.5	788	402	0.743	0.0929244939965	0.438056113869029
ENST00000342644.9	1506	600	1.235	0.629334824041	0.998970710732835
ENST00000623898.3	563	207	0.6884	0.00245549275846	0.0408732167265793
ENST00000436678.1	501	471	0.7669	0.0116342995814	0.531890869083218
ENST00000587919.1	509	117	1.3037	0.774410526679	0.933763332359494
ENST00000617613.1	718	126	1.0969	-0.09816328531	0.0365206251897632
ENST00000458372.1	1117	966	0.7852	-0.0443550738067	0.995298933246102
ENST00000633152.1	2667	222	0.9259	-0.0529693353393	0.0678163565290325
ENST00000464772.1	573	93	0.7644	-0.372093181436	0.00159006769793867
ENST00000547655.1	541	390	1.0491	0.140934119498	0.726462634415616
ENST00000323959.8	2797	2154	1.0245	0.148344096204	0.999999998809058
ENST00000502462.6	1446	807	0.8874	-0.0379350143201	0.981101826164082
ENST00000330387.10	7412	1563	1.1128	0.357966808913	0.999999764112245
ENST00000603059.2	565	294	1.0897	0.127448251033	0.489881806651953
ENST00000468868.1	548	411	1.1721	0.250302691006	0.908793327418711
ENST00000582165.1	592	285	1.1616	0.199540624456	0.63243535991178
ENST00000468156.1	630	123	1.0184	-0.0125587540184	0.0451078077205454
ENST00000463033.1	643	117	0.7661	-0.0652398958314	0.0132582627451511
ENST00000556083.1	4674	1467	1.2843	0.688691404559	0.999999955781607
ENST00000517692.2	975	273	0.8337	-0.407033968457	0.0118469840014282
ENST00000425206.5	656	390	1.1593	0.397098601275	0.948083113285038
ENST00000536964.5	578	288	1.0822	0.057164938053	0.363392377979646
ENST00000429779.1	555	471	1.2597	0.607203249267	0.995669006297944
ENST00000620014.1	944	207	0.4365	-0.196360134864	0.00521364335447538
ENST00000474666.1	353	126	1.2112	0.224635659042	0.289088321902916
ENST00000579956.5	443	222	0.9501	-0.0144845476544	0.101394629307581
ENST00000476092.1	492	321	0.9774	0.357077896965	0.781073690001152
ENST00000604154.1	310	48	0.9382	0.0321746362259	0.0202510110339335
ENST00000441836.1	348	123	1.3009	-0.2144310988	0.0359757148835885
ENST00000463349.1	520	333	1.0279	0.114396501655	0.526494464178721
ENST00000442309.5	642	555	1.0855	0.205156817666	0.965523696932601
ENST00000491570.2	1652	1257	0.9968	0.156774623128	0.999973318269677
ENST00000553427.5	715	240	1.1069	0.0178507688099	0.221211289891609
ENST00000570858.5	1131	597	1.1642	0.439682960964	0.995806159717984
ENST00000515012.5	2380	1362	0.991	0.110673949911	0.999988423977637
ENST00000367557.8	859	543	1.0718	0.229663518432	0.964005590247974
ENST00000469824.1	512	351	1.0967	0.265680072692	0.812005172135574
ENST00000609229.1	4739	573	1.3018	0.601592086752	0.998438330164349
ENST00000564213.1	334	204	1.3047	0.455293143628	0.844995750297368
ENST00000596295.1	910	621	1.0971	0.629140487793	0.99873186183586
ENST00000543004.5	1647	843	1.3108	0.680565241062	0.999961350598575
ENST00000448210.5	1689	225	1.0194	0.171524240663	0.299655542588064
ENST00000614111.1	1924	1506	1.0682	0.382098005064	0.999999667228385
ENST00000558340.1	1623	444	1.0111	0.220778493878	0.867045980303191
ENST00000406712.1	884	489	1.0015	0.0867546376891	0.828164487902486
ENST00000417727.1	557	210	0.7066	-0.0705811349655	0.0292518637635249
ENST00000472788.5	1416	1404	0.8159	0.09258483327	0.999985993002405
ENST00000419078.1	213	213	1.2334	0.350657496908	0.715543656714944
ENST00000482468.6	402	387	0.8096	0.430856720888	0.868131747558411
ENST00000540995.5	483	87	0.8213	0.203541574792	0.0565016406533941
ENST00000589560.2	752	237	1.1942	0.417874485128	0.807551542325199
ENST00000505613.1	597	597	1.1354	0.387040884185	0.993821551903682
ENST00000470931.2	690	288	0.8936	-0.00779231464046	0.166432325074921
ENST00000577447.1	547	474	1.2376	0.557137883763	0.993889558530759
ENST00000403696.5	789	531	1.3134	0.673758230443	0.998752098517983
ENST00000504086.1	1366	168	0.9469	-0.186710160196	0.0199824002635764
ENST00000518635.1	503	81	0.9285	-0.104843029583	0.0123049210131518
ENST00000495995.5	2040	231	0.9565	0.202619885015	0.303816880749089
ENST00000551814.1	410	123	1.18	0.257490017116	0.30054853406099
ENST00000555031.5	658	165	1.1055	0.298890618956	0.402759343018671
ENST00000472748.5	630	471	1.1068	0.174980947752	0.907508745838116
ENST00000458664.1	225	63	1.2185	0.0123706721298	0.0541386274725865
ENST00000609585.1	563	228	1.327	0.749630487585	0.978433726456397
ENST00000489667.1	2531	303	0.9747	0.144574808385	0.415789539632295
ENST00000484945.5	2238	462	1.3146	0.401643859761	0.985028246723205
ENST00000446960.1	382	120	0.8682	0.0136578665833	0.0313349874413553
ENST00000557162.1	561	390	0.9354	0.290046993377	0.815863100860931
ENST00000634838.1	1545	1041	1.1181	0.475516666489	0.999971715263423
ENST00000629426.2	1538	1242	0.9283	0.186281164667	0.999966797794717
ENST00000491196.1	379	267	1.0304	0.253645755358	0.557009365276411
ENST00000284425.6	5300	4854	0.8112	-0.0252711701781	1
ENST00000628315.1	1247	831	0.6489	0.153639024846	0.989742179965991
ENST00000506684.5	1543	1110	0.724	0.197845221505	0.999725891504012
ENST00000597158.1	308	105	1.0577	0.211442428622	0.149123350259571
ENST00000343399.3	939	939	0.8773	-0.0277211299699	0.995853626979865
ENST00000473884.5	568	300	1.0443	0.290708450457	0.702804907430215
ENST00000426694.5	872	531	1.3124	0.409767387304	0.993788215015613
ENST00000634304.1	199	57	1.2301	-0.0961564557951	0.0280631159165397
ENST00000490325.1	726	537	0.8487	0.254182527074	0.931350619241453
ENST00000485537.1	1094	303	0.6221	-0.0289090031028	0.0738151968883346
ENST00000562227.1	1113	600	0.8917	0.242404689249	0.966689139408966
ENST00000556744.1	1051	981	0.8431	0.236560393164	0.999407728788452
ENST00000404962.1	340	147	0.9003	-0.00471320988054	0.041981572010726
ENST00000461310.5	648	237	1.1569	0.149412287445	0.421211718800277
ENST00000292562.11	2807	2016	0.875	0.146945946541	0.999999990577998
ENST00000471732.5	674	327	1.0282	0.00736428119581	0.35024542501322
ENST00000540341.1	2285	759	1.0778	0.0799738164612	0.99132362112644
ENST00000382331.5	1922	1320	1.2877	0.347966872604	0.99999846122393
ENST00000309170.7	2513	1017	0.8828	0.0686550330222	0.998964161911082
ENST00000474750.1	572	258	1.1712	0.29466399712	0.700993254843997
ENST00000409453.5	2552	1914	1.1298	0.123408770175	0.999999986060673
ENST00000482426.1	900	828	0.7029	0.259820519864	0.995437687538007
ENST00000525443.1	3162	429	0.6598	0.0150500916211	0.302267946247823
ENST00000469792.6	1197	423	1.1299	0.704520580466	0.99336346648706
ENST00000626224.2	1313	1290	0.9777	0.289715132067	0.99999136923917
ENST00000418003.3	1137	1137	1.0442	0.0533338802307	0.999842021548991
ENST00000604421.1	355	78	0.7634	-0.178991870599	0.0043643743826926
ENST00000392669.6	1724	1002	1.277	0.518006441983	0.99998025548897
ENST00000486755.1	612	414	0.8436	0.135199665487	0.622029594540046
ENST00000471860.1	718	291	0.7986	-0.0490205927276	0.103700877033637
ENST00000490608.1	631	354	1.0225	0.332912711076	0.837852682878368
ENST00000492628.1	604	231	1.0072	0.142393205536	0.28066801133738
ENST00000565381.2	608	279	0.6146	0.143467442242	0.147896579452593
ENST00000404190.1	1230	1200	0.8125	0.0270393739628	0.999795421763865
