mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
AT1G01030.1	1905	1077	0.6769	0.0568530274914	0.999995736510573
AT5G26050.1	922	483	0.6718	0.159492734598	0.972388367554436
AT2G22260.2	1825	945	0.7979	0.0799029726054	0.999964657079141
AT3G60390.1	1447	948	0.9493	0.132978347564	0.999987930306158
AT2G38630.3	1979	993	0.8391	-0.0466886155701	0.999973953946142
AT1G53570.7	2512	1578	0.9404	0.0277706865729	0.999999998884495
AT1G60240.1	1162	528	0.5777	0.0208170828107	0.970276001683368
AT3G17720.1	585	585	1.0364	0.0318858856333	0.99783201516155
AT4G25990.1	2618	1185	0.947	0.142157251793	0.999998522097786
AT4G31520.2	2371	1854	1.1349	0.0629812127734	0.999999999996097
AT3G01080.1	1464	1272	1.1012	0.0761708522589	0.999999968913134
AT1G69840.4	1534	861	1.1083	0.134333607749	0.999938376791023
AT1G30845.1	766	357	0.897	-0.0520814714225	0.771134714878417
AT5G51845.1	495	222	0.6393	-0.0607415004198	0.266730296713228
AT1G10740.1	2240	1422	0.6723	0.0332041795717	0.999999985175556
AT1G29030.1	1966	1671	1.0367	0.0699544504464	0.999999999944049
AT2G26190.1	2267	1599	0.8468	0.0862807726646	0.999999999560475
AT5G40470.1	1919	1491	0.6294	-0.0577157690441	0.999999997127938
AT1G76120.1	1754	1392	0.8698	-0.0291145889445	0.999999990350961
AT5G51930.1	1749	1749	0.9877	0.0167245849589	0.999999999989696
AT5G26100.1	528	528	0.713	0.00805705723373	0.992065518861667
AT5G37055.1	834	516	1.1491	0.0529479620177	0.98924749585975
AT4G28085.1	879	255	0.8517	0.100666215769	0.364904729660483
AT2G32487.1	894	210	0.5391	-0.161761633702	0.0857637538796509
AT3G43950.1	654	654	0.6669	-0.0821400778174	0.998698428464855
AT2G28710.1	677	471	0.4581	0.170341719656	0.974684893443751
AT5G58950.1	2393	1578	0.9368	0.0531478844978	0.99999999916937
AT3G45400.1	2067	1428	1.0046	-0.0155113120793	0.999999992171495
AT2G19000.1	692	378	0.9592	0.0805168730235	0.894745355861987
AT4G21650.1	2536	2301	1.0265	0.0189254813494	1
AT4G20270.1	3417	2979	0.731	0.0133391252459	1
AT4G38280.1	990	513	1.0808	0.0825984065544	0.984781239533625
AT4G19630.1	668	396	0.6456	0.0197256076835	0.888577015430023
AT2G04060.1	1410	1410	0.9277	-0.076383911835	0.99999999625348
AT2G47240.3	2305	1983	0.9254	0.0493218559221	0.999999999999604
AT1G75170.3	1287	642	1.0093	0.0505536933543	0.997056681538597
AT1G69580.2	1198	1014	0.9531	0.0390229571107	0.999997251504827
AT4G09530.1	580	312	0.8957	0.149481684518	0.777906509014814
AT4G35740.2	2407	1863	0.9262	0.0224531860386	0.999999999995232
AT5G04520.1	1044	876	1.0335	0.100799333513	0.999979265881224
AT1G64540.2	1422	1335	0.762	0.0233648653257	0.999999986041878
AT3G10840.2	2904	1176	1.0527	0.028817594585	0.999996304302525
AT4G16380.2	1343	702	0.9283	0.239473299117	0.999272170723544
AT1G18670.3	2895	2163	1.0453	0.0217034862229	1
AT5G04310.3	1852	1428	1.0315	0.115409126394	0.999999996402517
AT1G03840.1	1923	1521	0.931	0.067714884712	0.99999999908412
AT5G63350.1	1387	909	0.8506	0.122267214319	0.999975147389824
AT5G03360.1	3108	3048	0.6626	-0.0384992906288	1
AT3G03760.1	1058	822	0.8386	0.238329579217	0.99995086901504
AT5G13370.1	2283	1788	0.9538	0.0599610072219	0.999999999986726
AT2G13550.2	1082	621	0.5808	-0.022713848054	0.99482144959277
AT3G06270.1	2126	1047	1.181	0.0357369626814	0.999992423011833
AT4G11970.7	1021	786	0.7116	0.0450970934034	0.999837399758681
AT3G62560.1	1100	582	1.1465	0.122751000991	0.995468574426327
AT4G34730.1	1843	648	1.0479	0.134933029821	0.993871607222842
AT3G04820.1	2429	2148	1.0725	0.0185059806612	1
AT3G07390.1	1196	822	0.9672	0.15987134342	0.999930320230058
AT1G68980.1	2076	1860	0.9031	0.0438853164095	0.999999999997458
AT4G13040.7	1383	672	0.4523	-0.0447201112174	0.995653887626987
AT1G13540.1	1254	1146	0.7786	0.0401090377971	0.999999687191657
AT5G59305.2	589	177	0.9225	0.0480254965195	0.183503001315171
AT3G55420.1	1219	651	0.9514	0.142118388495	0.998170758179718
AT2G26780.1	5708	5481	0.9358	-0.00152806099242	1
AT1G01490.4	1698	615	1.1183	0.0978184975984	0.991301113870798
AT1G55830.2	1974	1482	1.0652	0.0223042112542	0.999999997937867
AT5G19430.3	1836	591	0.874	0.131296500836	0.979700969203687
AT1G31470.1	1787	1749	0.6788	-0.00899487731612	0.999999999984212
AT2G30130.1	1222	582	0.8746	0.0387513147748	0.990878501339068
AT2G16720.1	1287	810	0.8843	-0.013223236113	0.999826333381736
AT2G36270.3	1941	1335	0.9125	0.0747921486624	0.999999970347659
AT1G24040.1	1398	960	0.9747	0.0100574455364	0.999988327445069
AT3G15190.1	1007	609	1.0296	0.170936872116	0.997734068495472
AT5G47620.2	2054	1296	0.9978	0.0965337552244	0.999999933308439
AT1G78690.5	1479	855	0.9761	0.0421681572532	0.999911928336202
AT3G07870.1	1910	1254	0.4852	-0.029424597331	0.999999758531308
AT1G02340.1	1391	879	1.0315	-0.00637557381708	0.999949039907859
AT1G22850.2	956	897	0.9083	0.103830904815	0.999986822379712
AT4G21950.1	352	165	0.9498	-0.0617846699256	0.182663973780815
AT2G20873.1	72	72	0.6221	-0.217894463651	0.0334124922588273
AT4G09630.2	2574	2091	1.0066	0.0218111539076	1
AT4G05612.1	1287	1287	1.0035	0.0140133010836	0.999999978727706
AT1G21780.1	1478	981	0.752	0.0450928267986	0.999989564159397
AT3G04760.1	2532	1809	0.8725	-0.0460951187536	0.999999999979307
AT1G54020.4	1403	714	0.9757	-0.104643154103	0.998511013423182
AT1G63740.2	3780	3192	0.6342	-0.0457818722786	1
AT5G42030.3	1165	612	0.8473	-0.0176303286876	0.994450523465078
AT5G45330.3	1837	1524	0.9476	0.00885833681854	0.999999999165079
AT4G32580.1	724	483	1.1715	0.147801199217	0.987713523115293
AT3G25060.1	2032	1806	0.8231	-0.0319237163057	0.999999999991748
AT4G32080.3	592	381	0.7982	0.153398116762	0.918796972442475
AT3G48209.1	204	204	0.9519	0.0530623569186	0.451528256020656
AT5G41130.2	2415	2136	0.7102	0.0023588109073	1
AT3G46870.2	1131	810	0.9368	0.0413546948958	0.999893950606888
AT2G26690.3	1874	1599	0.9657	-0.0347557560443	0.999999999754115
AT1G11840.4	1272	852	1.1692	0.110484246337	0.999956416019357
AT1G21500.1	877	381	1.0986	0.298732902617	0.924769436380296
AT4G38230.1	1800	1023	1.0564	0.12239504067	0.999994386753336
AT5G15750.1	993	549	0.9914	-0.0492341236964	0.98806128668121
AT4G37180.3	1531	837	0.8521	-0.0395113674	0.999812430734127
AT5G02950.1	2229	1899	1.0524	0.0164550070696	0.999999999998443
AT2G40410.2	1631	999	1.0404	0.0902685775069	0.999993097240604
AT4G33610.1	847	348	1.1951	0.110239507531	0.828284184000997
AT1G79190.1	4316	4008	0.8507	0.0212494335482	1
AT5G58412.1	590	282	0.5032	-0.0484566802624	0.45421606396531
AT2G04039.2	995	498	0.8011	0.0410561046328	0.971195304208643
AT1G14140.1	1153	918	0.8916	0.108300170674	0.999986772391769
AT1G28560.3	1936	1389	1.1683	0.0310483554052	0.999999990490419
AT1G51940.1	2456	1956	0.9399	-0.025292878662	0.999999999998955
AT5G25320.1	1902	1503	1.0425	0.063011407347	0.999999998881437
AT1G05860.2	1855	843	1.0182	0.0555397207674	0.999785515693741
AT2G42190.2	1236	426	0.9697	0.176104700409	0.900838942287605
AT3G57570.1	3755	3279	0.753	-0.00942448651703	1
AT1G55530.3	1563	957	1.1323	0.137877103737	0.999989300184535
AT5G43660.3	1585	921	0.7376	-0.0491761758326	0.999949763684981
AT5G52240.2	789	528	0.9935	0.157550526017	0.99297114903477
AT1G15230.1	1190	468	1.1204	0.30524685551	0.971780437711471
AT3G04450.4	1285	1209	0.939	0.0268189934291	0.999999907712901
AT2G04240.2	1308	489	0.5404	0.0141621350551	0.91869418835201
AT5G06110.2	2464	1992	1.152	0.118997968739	0.999999999999688
AT5G48430.1	1534	1221	0.8806	0.00490436622289	0.999999865336793
AT2G38660.4	1187	999	1.0548	0.00715520366586	0.999996500918549
AT2G39810.1	3268	2784	0.9456	0.0127756098702	1
AT3G06010.1	3849	3309	1.0795	0.0571325224349	1
AT4G13230.1	730	363	1.2373	0.234401631799	0.919296647596296
AT5G57170.1	822	348	0.9355	0.100990639102	0.795461182908572
AT5G17530.1	2246	1746	1.0658	0.0760426792359	0.999999999976764
AT5G03210.2	877	270	1.0516	0.0767800407178	0.463386499298985
AT2G31510.1	2530	1689	0.9478	0.0431787174155	0.999999999858467
AT3G09800.6	1043	780	0.904	0.0441905299589	0.999840972038559
AT1G62640.2	1826	1215	1.0384	0.042478723362	0.999999789801835
AT1G72960.1	2787	2388	1.016	0.0637128086637	1
AT4G17150.2	2501	1164	0.812	0.00581345483821	0.999997235633435
AT1G21580.5	7448	6132	0.9641	-0.0175932628986	1
AT1G74230.1	1283	870	1.0978	0.105702281586	0.999965476997104
AT1G01860.3	1163	804	0.9578	0.0227354798728	0.999870299050006
AT4G17740.2	1662	1518	1.0497	0.000949442734258	0.99999999938691
AT1G34792.1	389	279	0.4743	-0.101114248909	0.499426652587299
AT3G10890.1	1368	1245	0.8754	-0.0384704910544	0.999999930222966
AT4G16900.2	2718	2718	0.8212	-0.0201237658071	1
AT2G07680.2	4802	3564	0.7444	-0.0874697233318	1
AT1G10590.1	940	420	1.1657	0.168811119521	0.944938620430682
AT2G32460.1	1905	1473	0.9438	0.0538740314612	0.999999997801166
AT3G10080.2	1111	897	0.8476	-0.0588734679224	0.999971523016641
AT1G30300.4	1290	975	0.8908	-0.0436497555411	0.999991155843799
AT2G30740.5	2518	1101	1.1478	-0.0032295614482	0.999993132417422
AT3G50060.1	1720	906	1.1387	0.155228605902	0.999964343832741
AT2G31030.1	1470	1470	0.8787	-0.0633044323538	0.999999998593283
AT4G08869.2	648	210	0.9657	-0.232678851712	0.159319985828311
AT3G63400.1	2084	1713	0.938	0.0728203867096	0.999999999964689
AT1G24485.3	1725	1725	0.8384	-0.00812008087847	0.999999999981259
AT1G08410.1	2267	1770	1.1236	0.0891242637671	0.999999999985757
AT3G27390.2	2516	1767	0.6867	-0.0135334672071	0.999999999952223
AT5G22660.2	1582	1353	0.9253	-0.0374069333306	0.999999986277917
AT4G19645.5	1202	807	0.6717	-0.152776527618	0.999731365859022
AT3G59570.1	2708	2163	0.8895	0.00645138782209	1
AT4G24015.1	734	525	0.6865	-0.0468994230116	0.985290642065178
AT1G02420.1	1520	1476	1.088	-0.0342460984925	0.999999998936974
AT1G08670.2	1163	525	0.7872	0.00877299471417	0.973212457483495
AT2G02960.1	1341	816	1.1454	0.114429157673	0.99990159396233
AT5G55380.1	1330	1026	0.8113	-0.00651163797433	0.999996347988867
AT5G52610.1	1056	1056	0.6702	-0.0813528117502	0.999998319030512
AT1G18370.1	3474	2925	1.008	0.0135450088752	1
AT2G19420.1	435	435	0.7239	-0.155644504438	0.947321570319169
AT3G49470.2	795	699	1.2239	0.165275458856	0.999760660382159
AT4G04500.3	2206	1533	0.7546	0.0235130887279	0.999999998313423
AT5G53440.2	3949	3510	1.1924	0.0867635742614	1
AT2G20940.1	908	390	1.1878	0.238222917739	0.927264081247954
AT4G36840.1	1757	717	0.8237	0.0544371129451	0.997816209379686
AT3G58860.1	1396	1374	0.9668	0.0138140920751	0.999999994544714
AT3G61600.1	2339	1686	0.8376	0.0898103023116	0.999999999898807
AT3G07525.1	1227	678	0.9071	0.0271392125176	0.998431300160666
AT4G03110.1	2072	1326	0.912	0.0230351033373	0.999999948338118
AT2G37440.1	1916	1440	0.6556	-0.0247368511305	0.999999993408205
AT5G50330.2	1741	1392	0.998	0.02692861518	0.999999992748189
AT5G24350.1	7532	7131	0.9217	-0.0106803513816	1
AT3G27550.3	1893	1476	0.9128	0.0739151793975	0.999999998011791
AT4G32380.2	1329	1239	0.891	-0.0881223131408	0.999999919380384
AT5G56040.2	3735	3273	0.7522	0.0510502442083	1
AT2G28180.1	2451	2451	0.959	0.00493381582536	1
AT1G79985.2	1106	459	0.6936	0.0806570001163	0.929366233105717
AT2G02280.1	435	435	0.616	-0.144748197671	0.943559989339005
AT5G39865.1	1886	1173	0.8446	0.0233304175072	0.999999353279694
AT1G08230.3	1674	1056	1.0186	-0.0620854217955	0.999996085456351
AT5G08030.2	1295	1164	0.9616	-0.054180426169	0.999999740189875
AT5G51300.3	2865	2415	1.1958	0.0925016623492	1
AT1G32900.1	2292	1833	1.0446	0.0928483424791	0.999999999995029
AT5G23535.2	830	480	0.942	0.0593259915036	0.975561539624999
AT5G06770.6	1078	657	0.8528	0.0351377634443	0.998221942724629
AT5G45100.2	1375	804	0.7404	0.00813624121075	0.999749955604327
AT1G24330.2	2623	2316	0.8566	0.0356908880318	1
AT5G12440.5	3001	2046	0.9628	0.0269184836933	0.999999999999503
AT1G59790.2	1235	1122	0.9318	-0.0545557188252	0.999999483164556
AT3G47600.1	1612	1002	0.9407	0.0446470882234	0.9999922610117
