mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
AT2G13800.1	2083	1806	1.0155	0.0459759030054	0.999999999993726
AT2G21820.1	556	237	1.1735	0.337677007027	0.655604533924119
AT5G19940.1	1085	720	0.7578	0.12135735348	0.999505243389548
AT1G22930.1	3928	3396	1.0215	0.0641552406145	1
AT1G03620.10	1339	798	0.8604	0.0598489528752	0.999795552406543
AT5G23040.1	1196	777	0.5537	0.044846501967	0.999685818260555
AT2G17740.1	1059	747	0.8463	0.085816768562	0.999712758762171
AT3G51950.4	2437	1623	0.8295	0.0693479012577	0.999999999582167
AT3G51880.3	997	537	1.2299	0.173665696096	0.993089014697289
AT1G02145.2	1361	999	0.6977	-0.0503929622266	0.999992059789984
AT3G03650.1	1909	1500	0.8549	0.0420341435559	0.999999998495455
AT2G04860.1	2140	2079	0.7324	-0.0723177940562	1
AT4G34000.3	1815	1350	0.9928	0.0743193779308	0.999999983716053
AT1G43040.1	315	315	0.7587	0.0409146624164	0.80706462219791
AT2G20520.1	1009	744	0.8669	-0.0335795189827	0.999635674224033
AT5G58610.6	3241	3183	0.7046	-0.0114248676579	1
AT4G30140.1	1518	1047	1.069	0.0511372210162	0.999997558535821
AT2G33760.1	1752	1752	1.1006	0.0201624197637	0.999999999991248
AT5G55070.2	1835	1395	1.0809	0.0925895448566	0.999999993518806
ATCG00790.1	408	408	1.2376	-0.133498339202	0.951486450651455
AT2G31005.1	246	246	0.6198	-0.24953843291	0.361492301216017
AT4G33640.2	566	486	0.8871	0.0923550756962	0.987257732412768
AT2G27600.1	1900	1308	1.094	0.0914565875891	0.999999963480168
AT2G19010.1	1259	1047	0.8449	0.00253432381094	0.999997960414705
AT1G75990.1	1813	1464	0.9939	0.112768724129	0.9999999982163
AT4G31710.2	2739	2739	0.878	0.0066124706588	1
AT1G15015.1	843	483	0.6787	-0.15784333693	0.949134864568442
AT1G11430.1	1038	699	0.9958	0.142315939963	0.999494182049124
AT4G22770.2	1387	1005	1.0483	0.119820796521	0.999996479779159
AT5G09900.3	1678	1389	1.1503	0.0683893120126	0.999999994704391
AT3G52590.1	927	387	1.1948	0.267398854895	0.926371750912558
AT5G40595.1	426	426	0.9353	0.0313480601098	0.967920009384807
AT2G36380.1	4708	4362	0.8457	0.0183186360789	1
AT4G33980.1	1369	657	1.2105	0.071050336404	0.997933625205319
AT4G01023.2	949	768	0.9878	0.126148105514	0.999875763349299
AT3G48070.1	2115	960	0.8982	0.0929015626743	0.999958197512403
AT3G28170.1	808	624	0.9991	0.000430455886784	0.99816800198938
AT2G07360.1	4023	3591	1.0989	0.0698722103932	1
AT5G56020.2	1056	693	0.7972	0.0410918358167	0.999092000238403
AT2G21070.2	1874	1143	0.845	0.0502765219821	0.999998971919741
AT3G11600.1	1099	354	0.9327	0.157931990447	0.743429980617398
AT1G08900.5	1849	1263	0.7259	-0.0915223268523	0.999999830614591
AT1G07885.2	366	165	0.5311	-0.0658240299362	0.127256205197673
AT1G76500.1	1729	909	1.2344	0.235934679064	0.999974353477911
AT3G61680.3	2418	1950	0.8681	0.0717700365761	0.999999999999092
AT2G22300.3	3929	2925	1.0339	0.0131029422898	1
AT4G13520.1	654	189	1.3006	0.334427782631	0.418798955407835
AT2G43680.5	2939	2007	0.871	0.132996815781	0.999999999999245
AT5G02440.1	782	531	0.6645	-0.00612965246657	0.986651230190986
AT2G29320.1	1287	810	0.9471	-0.069211847976	0.999811445480845
AT1G22840.1	730	345	1.1566	0.229817414377	0.882168807791324
AT4G35030.7	2240	1347	0.7357	-0.0378712247339	0.999999933046426
AT1G56430.1	1443	975	1.185	0.0607192755178	0.999993003021476
AT1G14685.2	1512	840	1.0221	0.0507708801877	0.999883675421159
AT1G16770.1	1264	975	1.1102	0.144217897148	0.999995725912135
AT5G58340.1	1684	1347	1.0619	0.0967099374449	0.999999988211906
AT5G04490.2	1352	732	0.8202	0.0727079137499	0.999285181164218
AT5G41030.1	974	732	1.212	0.045931671405	0.99974768585225
ATCG01270.1	234	234	0.8477	-0.290405240658	0.341163557743867
AT2G22500.1	2077	942	1.102	0.147671343997	0.999960977166253
AT4G15090.2	3182	2484	0.9757	-0.0144661094205	1
AT2G46880.2	1538	984	0.688	0.0334430539056	0.999987857468396
AT2G21210.2	1402	498	0.4585	-0.113929655499	0.881650326070728
AT2G15185.1	576	576	0.8396	-0.0496596231994	0.99629773922229
AT3G16520.3	2472	1389	0.8879	0.0885843226259	0.999999969290337
AT5G66750.1	2770	2295	1.1025	0.057246570573	1
AT3G22510.1	833	375	1.1609	0.0786419873414	0.879705306414273
AT5G47250.1	3188	2532	0.7909	-0.0213044197975	1
AT2G03190.1	688	513	1.2907	0.128500416338	0.993790310217363
AT2G35120.1	877	471	0.9756	0.106785192557	0.972831274422804
AT4G30560.5	2189	2124	0.7728	0.0316982744623	1
AT1G48430.2	2316	1677	1.0711	0.111968184925	0.999999999913034
AT3G23330.2	2239	1821	1.0212	-0.0011353507837	0.999999999992763
AT3G61080.1	1320	981	0.9863	0.0469869894869	0.999993881443857
AT2G35920.1	3377	2988	0.9357	0.0261312259717	1
AT3G60960.1	1592	1212	1.2005	0.112105463379	0.999999898822462
AT5G62750.1	896	375	1.2343	0.243995239735	0.912867533561159
AT4G24290.2	2522	1821	0.904	0.0105857888863	0.999999999986315
AT1G67670.1	371	195	0.9624	0.271381558327	0.467075010087442
AT1G05065.1	717	252	0.8498	-0.00749559555612	0.362631716522407
AT3G61590.4	2092	1344	0.5417	0.0147702138208	0.999999944518707
AT3G14120.3	3688	3297	1.0601	0.0399464479371	1
AT4G10465.1	884	552	0.7111	-0.00194025328646	0.989485626419073
AT1G22150.4	2203	1971	1.0702	0.0516002258886	0.999999999999649
AT1G15750.1	4059	3396	1.0641	0.0665294750662	1
AT3G02770.1	945	501	0.9833	0.0520714868029	0.979550046133533
AT5G04140.2	5199	4947	1.0215	0.0319591794444	1
AT1G80110.1	1405	774	0.9911	0.207399697881	0.999778077203022
AT5G06265.2	1734	321	1.1032	-0.020028048731	0.252256706425788
AT4G20380.4	1073	555	0.8894	-0.0215138021807	0.987184229983607
AT1G19520.2	1567	1119	0.9573	0.0666544319826	0.999999243132777
AT4G20960.1	2280	1281	0.8783	-0.0119153343007	0.99999979834507
AT2G42550.1	1035	1035	0.7291	0.0565349574846	0.999998407195745
AT2G26100.1	1688	1116	0.9072	0.0240313134042	0.999998815844266
AT1G67620.1	1099	555	0.9321	0.0216615745223	0.988354475447248
AT5G44110.2	1075	645	0.9689	0.0573014117136	0.998126171786464
AT2G25950.2	1005	576	0.8941	0.0108624624236	0.992984144961249
AT2G28240.1	2288	1983	1.0966	0.0589372079054	0.999999999999681
AT1G05070.1	991	555	0.9866	0.184065340716	0.994015528104542
AT1G15610.1	768	732	0.6466	-0.0660585859228	0.99962320215778
AT3G08650.2	2155	1860	1.1374	0.0704102551226	0.999999999997765
AT1G71710.1	2450	1995	1.0226	0.0180687944678	0.999999999999583
AT5G61940.3	3662	3570	0.9059	0.0104203682444	1
