mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
OS11T0708000-03	1120	234	0.7833	0.109993337189	0.164205044929336
OS01T0703400-01	1332	1062	1.1072	0.102520520569	0.992423241663268
OS11T0131500-00	1049	531	1.2765	0.073429403372	0.694033191046596
OS10T0370750-00	1622	876	1.3098	0.123196298106	0.960559860493225
OS09T0504700-03	968	576	0.9789	0.129182016307	0.887646281816227
OS06T0643300-02	1020	618	1.2799	0.128174483297	0.927572844144898
OS01T0956500-01	1504	1191	1.048	0.0850033765062	0.99438238820216
OS01T0176300-00	2526	1998	1.1745	0.0914497375905	0.99993490055511
OS03T0356484-01	868	522	0.9256	0.127776929459	0.856351463793872
OS03T0790700-01	4272	4071	1.1945	0.113635554597	0.999999999898232
OS02T0632850-00	884	216	1.0005	0.130955558823	0.341770197594348
OS04T0693400-00	1857	765	1.2196	0.11331178879	0.812373295433562
OS03T0275950-00	2599	534	1.118	0.166751014469	0.201244679298629
OS06T0251000-01	1955	636	1.1452	0.0795130097295	0.381911362872569
OS07T0142300-01	858	573	1.3274	0.21314423579	0.983157783996329
OS07T0614000-01	1430	1104	1.2768	0.124234734735	0.99600373765754
OS05T0489000-01	2733	1659	0.7739	0.0768002684976	0.996759589230497
OS12T0156000-00	850	849	0.9865	0.133875034052	0.99088411286251
OS03T0668900-01	1161	819	1.177	0.174758751592	0.989853331127622
OS05T0103700-01	1599	1101	1.0637	0.127252401663	0.992952881895396
OS10T0430900-01	3391	2919	1.0203	0.0821198219081	0.999999657596165
OS01T0819900-01	2888	2478	1.0271	0.0941728377887	0.999996805281608
OS06T0484800-00	3035	2571	1.0132	0.0445535248433	0.999995006568908
OS07T0178900-01	1826	1368	1.0777	0.0989002552741	0.997847897001756
OS09T0298500-02	662	234	0.5126	0.00766500066719	0.072599954932105
OS04T0107700-01	1377	1152	1.2833	0.147653561788	0.998420244337077
OS05T0478200-01	1716	1116	1.2008	0.131745957213	0.993290816280066
OS11T0691500-00	918	918	1.2947	0.126689448251	0.994816299762652
OS01T0787300-01	1601	504	0.9415	0.132459788999	0.497880506362224
OS12T0265701-00	799	417	0.8585	0.122651190241	0.717564510326356
OS11T0706100-01	1643	243	0.4701	0.0363218493232	0.0127560617596308
OS05T0516900-01	2238	1467	0.7467	0.0430630590086	0.991112181194258
OS02T0572200-01	1312	1050	1.2276	0.144428494801	0.996510254887665
OS09T0538600-01	755	516	0.8426	0.140728926606	0.895688475244796
OS10T0556000-00	323	294	1.3098	0.0807274761822	0.677459034662921
OS10T0442532-00	1753	516	0.6321	0.0546236620641	0.130949420009165
OS06T0194400-01	1040	714	1.1167	0.132413699949	0.961494233393872
OS07T0190900-01	2938	2598	1.0266	0.0686341121009	0.999997927408095
OS01T0687850-00	618	204	1.2848	0.102303422354	0.412516958178827
OS03T0264400-03	2716	318	1.1379	0.126678906783	0.0161453976117069
OS04T0220400-00	1903	276	0.9483	0.00534521109199	0.00827816696011037
OS09T0103300-01	482	204	1.2307	0.0652963998768	0.328189643914956
OS05T0130200-01	619	231	0.7379	0.146655310009	0.53136312023481
OS03T0355900-00	249	111	0.5612	0.0192801192475	0.0880220186129164
OS09T0369750-00	1023	915	1.2633	0.156866663786	0.995817348566789
OS07T0681100-01	2471	1923	0.8649	0.0835363337565	0.999838352382332
OS01T0588400-01	1175	936	1.3064	0.127829594409	0.992043981455229
OS03T0676400-01	667	432	1.2534	0.1910060288	0.94822770506156
OS08T0229500-01	1363	324	1.0977	0.116861309822	0.258510679647211
OS08T0553150-00	816	642	1.0146	0.0831363681091	0.901529708598685
OS06T0164800-01	667	153	0.9508	0.238831035465	0.759066107875744
OS02T0504050-01	2809	204	0.7852	0.101470315086	0.00240051377742897
OS11T0620100-01	1950	1326	1.1111	0.11531960825	0.997014184309433
OS11T0623800-00	3165	3165	0.956	0.0645267383103	0.999999962288413
OS03T0165400-01	3308	2526	0.9551	0.0833694670305	0.999992504579328
OS09T0508200-01	1088	789	1.2925	0.154353559264	0.986098338616344
OS03T0229575-01	2535	270	0.5041	0.0350756781051	0.00195794660621482
OS08T0441400-01	622	372	1.1846	0.133086166541	0.811629699009032
OS04T0272700-03	1077	318	0.7346	0.0993325938457	0.257367069838352
OS08T0559900-01	2704	1746	0.8922	0.0517718351983	0.997964057144437
OS02T0721800-01	2752	1839	1.0271	0.089103474437	0.99950687864143
