mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
ENSMUST00000152336.1	460	144	0.9279	0.334523229912	0.245741529702312
ENSMUST00000169575.1	942	726	0.9575	0.352483128126	0.96067082512909
ENSMUST00000149105.1	2093	1317	1.2918	0.409543386673	0.999748703115019
ENSMUST00000214310.1	418	48	0.5007	0.0420690213376	0.0218081683446523
ENSMUST00000163019.7	2773	1074	0.6516	-0.100490795439	0.962431133558997
ENSMUST00000203307.1	376	171	0.8216	-0.273112580535	0.0264249618929546
ENSMUST00000154823.1	591	144	0.9923	-0.38286243917	0.0191186532282208
ENSMUST00000176091.1	528	219	0.955	0.181830877143	0.239448729845424
ENSMUST00000159792.7	699	483	1.2561	0.569096706549	0.947285879065117
ENSMUST00000081927.2	1921	1134	0.9109	0.0810437514929	0.992758132945148
ENSMUST00000107233.8	3663	1644	0.8591	0.249587883465	0.999894109117261
ENSMUST00000006838.15	2800	2328	1.1358	0.34368026007	0.999999696661223
ENSMUST00000107654.7	4422	3381	0.7843	0.135470567323	0.999999999289001
ENSMUST00000102499.7	1961	846	1.0924	0.187967113575	0.973815876005463
ENSMUST00000110492.1	4780	4122	0.7251	0.312547453882	0.999999999998152
ENSMUST00000059617.1	1002	1002	0.9308	0.0898282844364	0.983084236210945
ENSMUST00000004379.7	1034	735	1.0207	0.303013853126	0.959834103490401
ENSMUST00000142039.7	2484	930	1.0037	0.439206864158	0.993770800894429
ENSMUST00000128479.1	1171	726	0.9509	0.443932431139	0.9721298135206
ENSMUST00000180044.7	3131	990	1.1074	0.307585418915	0.994204380935207
ENSMUST00000193335.1	774	288	0.7462	0.0530754831571	0.171042744541372
ENSMUST00000174010.1	132	129	0.8645	-0.0271019220112	0.0563352140621924
ENSMUST00000125810.1	365	273	1.3095	0.215693823041	0.508876706107174
ENSMUST00000000808.7	2873	2217	0.93	0.294186044339	0.999998784806766
ENSMUST00000207999.1	604	51	1.2073	0.18495340273	0.131490229663717
ENSMUST00000182267.1	7234	6891	0.9818	0.247894668371	1
ENSMUST00000151230.1	677	165	0.538	-0.365002760431	0.0103526018605306
ENSMUST00000107464.7	3252	2274	0.9387	0.368497956309	0.999999409966848
ENSMUST00000161297.7	305	159	0.509	0.0933859838515	0.0587165551107454
ENSMUST00000159102.1	584	264	1.1687	0.299374375773	0.511429260325112
ENSMUST00000071425.1	948	948	1.013	0.103105067195	0.979790401814509
ENSMUST00000114950.1	2493	1827	0.8574	0.214624990224	0.999968161837028
ENSMUST00000048012.12	3321	2736	0.901	0.30317583214	0.999999970481159
ENSMUST00000110437.3	1276	915	0.7948	0.139396940856	0.967008723854338
ENSMUST00000135177.7	821	378	0.5647	0.171282587727	0.313429559987176
ENSMUST00000154777.1	742	525	0.9947	0.115866512128	0.700908629685497
ENSMUST00000177574.1	1316	264	0.9683	0.0658339461991	0.214350063745235
ENSMUST00000208324.1	2165	525	1.148	0.437976019013	0.918371641791735
ENSMUST00000212058.1	1287	1287	1.2424	0.333583169753	0.999542159296014
ENSMUST00000117686.1	1026	264	0.6386	0.0154668995426	0.108012485539233
ENSMUST00000141138.7	890	153	0.3737	-0.4025696047	0.00599491873099683
ENSMUST00000138508.7	701	591	1.0604	0.342189978557	0.915007898819001
ENSMUST00000136088.7	508	222	1.2532	0.56125339257	0.725569177198362
ENSMUST00000131935.1	655	579	1.2622	0.356926273264	0.938566409511517
ENSMUST00000099929.2	1075	930	1.0374	0.0199634797803	0.969343432655039
ENSMUST00000176028.1	759	723	1.1829	0.35652931065	0.973763546503392
ENSMUST00000128666.1	805	420	0.9674	0.127660320934	0.522457405487077
ENSMUST00000024647.12	3089	2151	1.2005	0.376596404716	0.9999991510588
ENSMUST00000149635.7	2396	474	0.9215	0.331654601435	0.766932298813286
ENSMUST00000039796.13	3500	720	1.1197	0.4495152526	0.977924538390647
ENSMUST00000189414.1	518	96	0.9196	-0.0424482640846	0.0462702456868148
ENSMUST00000211888.1	1179	951	1.0292	0.342356425987	0.992650467880169
ENSMUST00000196068.4	911	405	1.1447	0.28435912441	0.721027442514478
ENSMUST00000206870.1	518	213	1.2067	0.298502150695	0.436922356266515
ENSMUST00000125225.1	530	150	0.8867	0.375585404357	0.271202473270532
ENSMUST00000065842.6	885	627	1.1474	0.222072800379	0.909088812693765
ENSMUST00000103203.7	3674	1530	1.0739	0.319433157017	0.9998784557474
ENSMUST00000141444.1	626	201	0.7482	-0.108415791629	0.0542099020540357
ENSMUST00000170324.1	831	108	1.184	0.491122197111	0.432078254339878
ENSMUST00000155500.1	441	102	0.7833	0.464535213309	0.238402284840183
ENSMUST00000215418.1	3417	984	1.0187	0.0254570594019	0.977608269483119
ENSMUST00000194315.1	4715	3930	1.054	0.240960882498	0.99999999999464
ENSMUST00000127713.1	458	228	0.5629	0.102414380727	0.104985445129612
ENSMUST00000196520.1	2604	1836	1.1773	0.313853791438	0.999989002077442
ENSMUST00000033713.10	1026	492	1.0559	0.413898236971	0.874261503963044
ENSMUST00000153976.7	827	594	1.3009	0.547259294198	0.975416118618992
ENSMUST00000114549.2	2872	1428	1.0197	0.340351746323	0.999747162741602
ENSMUST00000196401.1	294	165	0.9575	0.430493733441	0.373177579418954
ENSMUST00000169358.7	396	144	1.1464	-0.130995190536	0.0680596477773072
ENSMUST00000110627.7	5494	4248	1.0567	0.33767232738	0.999999999999631
ENSMUST00000106647.7	1572	1143	1.2315	0.383732252562	0.998917592598262
ENSMUST00000123430.1	758	474	0.7362	0.0372075714534	0.420890910129647
ENSMUST00000125890.7	742	600	1.1773	0.352154727306	0.936938499539255
ENSMUST00000153363.1	348	198	0.7467	0.00805230337075	0.0831026188493165
ENSMUST00000138330.1	819	303	0.9413	0.167758525051	0.34539465316332
ENSMUST00000137009.1	1628	648	0.7256	0.162209169009	0.803379880262906
ENSMUST00000124275.1	590	147	0.6466	0.197438841345	0.100973257367549
ENSMUST00000209456.1	733	201	1.0998	0.0793643612687	0.191540102620964
ENSMUST00000076634.4	3288	1650	0.8328	0.248860324646	0.99989412755239
ENSMUST00000204970.1	2140	684	1.1435	0.396545081519	0.967410934111864
ENSMUST00000183041.7	714	639	0.8536	0.578497028189	0.9645659613368
ENSMUST00000147007.1	521	126	0.9346	-0.472477569841	0.010563359145331
ENSMUST00000127393.7	3374	186	0.7848	-0.399876801482	0.0154407621672509
ENSMUST00000034361.9	2916	1269	0.8883	0.190129570724	0.998121747124904
ENSMUST00000115047.2	4264	3672	1.1679	0.435963775642	0.999999999987558
ENSMUST00000144181.1	465	273	1.2338	0.424559734054	0.678381242864109
ENSMUST00000109811.3	753	237	0.9847	-0.0700396864928	0.118615325020159
ENSMUST00000194939.1	760	141	0.681	-0.146431684429	0.0272341894683701
ENSMUST00000095440.8	3153	2595	1.0661	0.332937383703	0.99999994702163
ENSMUST00000205548.1	2363	279	0.8656	0.0626796672929	0.194816890191318
ENSMUST00000194544.1	313	168	0.9495	0.135848177956	0.152265355961229
ENSMUST00000141976.1	595	285	1.0433	-0.0411246608986	0.193358518186914
ENSMUST00000171321.1	433	126	0.6797	-0.203255455525	0.019627189151593
ENSMUST00000172154.7	604	534	0.7773	0.228107927063	0.725994411143664
ENSMUST00000074941.7	3040	1743	1.013	0.0333339915552	0.999907112193581
ENSMUST00000040787.12	3903	1626	0.9049	0.178736006381	0.999851234601697
ENSMUST00000000895.12	1829	1062	1.0925	0.338823383199	0.996966027412218
ENSMUST00000205931.1	1161	900	1.1003	0.324245924203	0.99001179269784
ENSMUST00000160223.1	714	444	0.6206	0.123430474753	0.40202346310751
ENSMUST00000129399.1	402	168	1.2902	-0.131363388342	0.101751947371609
ENSMUST00000146076.7	869	348	1.089	0.335548730856	0.655863950398735
ENSMUST00000153813.1	365	210	0.7621	-0.0686973366758	0.0691466375062896
ENSMUST00000153635.1	2298	1551	1.2604	0.366783716268	0.999941077985605
ENSMUST00000187824.6	420	363	0.9056	0.160598705116	0.427341043635796
ENSMUST00000033176.6	1896	1362	1.0802	0.145953041558	0.99921320101354
ENSMUST00000123660.1	151	6	0.3621	0.633368317944	0.125593502212897
ENSMUST00000209715.1	262	57	1.1583	-0.0845144376055	0.0461149320625885
ENSMUST00000187427.1	1296	624	0.6167	0.170549665142	0.745298876022721
ENSMUST00000064076.5	3034	2505	1.0253	0.240111234052	0.999999840511678
ENSMUST00000186555.1	695	369	0.7198	0.00500141543565	0.224865389570582
ENSMUST00000186828.1	627	177	0.9659	0.279812984623	0.261105365106893
ENSMUST00000200365.4	731	198	1.0614	0.0641097492999	0.168622913019195
ENSMUST00000109522.1	3765	3258	1.161	0.216437846202	0.999999999393726
ENSMUST00000115011.7	2290	1077	1.0794	0.344291265477	0.997241513071808
ENSMUST00000215017.1	2917	933	0.9128	-0.112380317068	0.934598485921751
ENSMUST00000102741.7	1033	477	1.047	0.213416164211	0.729984152292037
ENSMUST00000022345.6	1631	780	1.1059	0.399797148065	0.982684346689768
ENSMUST00000115304.7	2634	855	0.9311	0.379471664647	0.98445401425875
ENSMUST00000148126.1	2028	288	1.0614	-0.0252918017027	0.207218823104692
ENSMUST00000027512.12	3130	1824	1.0836	0.319805826095	0.999985895256572
ENSMUST00000162852.1	344	69	0.5045	-0.149611197179	0.0118118632305596
ENSMUST00000204441.2	1020	819	1.13	0.445166802956	0.989694347527898
ENSMUST00000068851.5	493	339	0.937	-0.108137789868	0.181244039477273
ENSMUST00000148129.1	585	285	0.8038	0.27628533433	0.359906063236011
ENSMUST00000104998.4	854	411	1.304	0.421404583024	0.864216400509485
ENSMUST00000142199.1	371	189	1.1484	0.191553234349	0.275059232307209
ENSMUST00000162972.1	520	273	0.7865	0.195455545316	0.264346999922291
ENSMUST00000160184.1	765	582	0.7845	0.276440714241	0.821715717085219
ENSMUST00000189133.1	3463	207	0.853	-0.302959277848	0.0298103007101592
ENSMUST00000049151.3	2840	2109	0.9354	0.202050120542	0.999996180386488
ENSMUST00000102649.3	2074	1404	1.0614	0.261238467157	0.999622687802321
ENSMUST00000154420.1	481	258	1.1242	0.328654913424	0.5104457835561
ENSMUST00000189505.6	1031	969	0.9587	0.525732699304	0.996521669171226
ENSMUST00000205945.1	514	336	1.1546	0.416572957287	0.734949544868078
ENSMUST00000020248.15	1052	585	1.0405	0.28228095987	0.885231087923638
ENSMUST00000093268.4	1512	981	1.2619	0.302541121657	0.995433476571359
ENSMUST00000126113.7	772	606	0.9813	0.303630644324	0.898275197098532
ENSMUST00000210656.1	3373	1257	1.3293	0.382636593877	0.999584440387419
ENSMUST00000133993.1	1884	285	0.9571	0.15909745161	0.309993582935696
ENSMUST00000134216.2	792	612	1.2146	0.404582801675	0.955538681197843
ENSMUST00000160744.1	856	333	0.7768	0.139453748069	0.30040502629156
ENSMUST00000145166.7	647	273	1.269	0.33344035793	0.607069459238957
ENSMUST00000127625.2	1167	678	0.8144	0.139658464755	0.84654561558536
ENSMUST00000131742.7	549	90	0.636	0.0292453996974	0.0354272599324836
ENSMUST00000107461.1	2337	1953	1.0695	0.232435203947	0.999991991365645
ENSMUST00000163222.1	364	231	0.9284	0.294851321797	0.342390330108499
ENSMUST00000147830.1	3071	294	0.5713	-0.300380407638	0.0336016471844718
ENSMUST00000173483.7	1781	1182	1.0486	0.292629320908	0.998326925542353
ENSMUST00000205419.1	743	417	0.9603	0.391603087243	0.756874222408407
ENSMUST00000182234.1	999	351	1.2746	0.45473175405	0.816973444868735
ENSMUST00000194034.1	550	363	1.3091	0.218289330608	0.666083864795049
ENSMUST00000131131.1	643	618	1.2381	0.665023812431	0.985556391283423
ENSMUST00000177152.1	296	96	1.1124	0.0955649989574	0.109304103550454
ENSMUST00000093040.12	1192	642	1.1379	0.443387107376	0.964112188799067
ENSMUST00000160218.1	3197	330	0.9872	0.198827394723	0.428572416455614
ENSMUST00000135351.1	460	324	0.9543	0.0890890632228	0.314993074399877
ENSMUST00000153373.1	221	129	0.9459	-0.0286406615663	0.0644382646038366
ENSMUST00000159212.8	1745	1713	0.9854	0.196611851531	0.999939573786688
ENSMUST00000080175.6	816	816	0.9197	0.0508754304952	0.927213611803248
ENSMUST00000184379.1	370	183	1.1854	-0.013065398815	0.144284213077364
ENSMUST00000140181.1	662	219	1.283	0.447643305003	0.631331718453477
ENSMUST00000025312.12	2114	1023	1.0116	0.278144385722	0.993989441506804
ENSMUST00000102919.3	8033	7302	1.2704	0.461425083994	1
ENSMUST00000203339.1	650	477	1.1052	0.275027636611	0.796348456466693
ENSMUST00000176820.7	514	321	0.9103	0.181714853591	0.376855688495097
ENSMUST00000087638.3	2053	1506	1.0688	0.201735729155	0.999772720137122
ENSMUST00000146431.2	749	297	1.003	0.242756203153	0.435453922604758
ENSMUST00000176847.7	736	405	1.2658	0.487631336358	0.881837470824121
ENSMUST00000190802.1	833	483	0.9916	0.110160324555	0.626521199398024
ENSMUST00000130046.1	527	282	0.999	0.0220692174941	0.218844836920618
ENSMUST00000160109.1	800	306	1.0651	0.39838464086	0.635503390660073
ENSMUST00000207812.1	756	600	1.0581	0.312628397015	0.910103235787025
ENSMUST00000037025.14	4308	2481	0.9241	0.281314268766	0.999999800727101
ENSMUST00000098935.1	1839	519	0.5556	-0.0774375558288	0.304865404426007
ENSMUST00000213091.1	615	303	1.1927	0.119933389903	0.410336371331504
ENSMUST00000121279.1	1645	438	1.0345	0.356146998184	0.778873861706003
ENSMUST00000126390.7	2595	2388	1.1525	0.162706721038	0.999999602205684
ENSMUST00000132839.1	554	237	0.9997	0.19246120989	0.289086372169884
ENSMUST00000088598.5	611	516	0.8205	0.0404216167474	0.539248955982537
ENSMUST00000102582.7	8788	7347	1.2928	0.487020602392	1
ENSMUST00000208292.1	358	159	1.2047	0.401647356265	0.444821939731323
ENSMUST00000022517.7	1410	960	1.2297	0.393454938999	0.996116335876656
ENSMUST00000127346.1	584	210	1.1023	0.424339334884	0.51086761327126
ENSMUST00000137195.1	3377	3213	1.2096	0.714334775323	0.999999999900817
ENSMUST00000033264.11	2793	1389	1.0489	0.256631633428	0.999554084150602
ENSMUST00000148303.1	347	138	0.5846	0.179499839054	0.0805888073206809
ENSMUST00000198004.1	511	327	0.9459	0.0816653354497	0.309513513892603
ENSMUST00000029147.15	2051	1380	1.1932	0.336806007544	0.99974230526581
ENSMUST00000143296.1	754	306	0.4363	0.203507383683	0.196362961758109
ENSMUST00000152798.1	886	633	0.961	0.179362753233	0.861112345027847
ENSMUST00000211570.1	3557	2871	1.2754	0.356540843861	0.999999995509919
ENSMUST00000135523.4	4773	3009	0.896	0.257412645716	0.999999994817446
ENSMUST00000106431.1	72	0	0	0	0.005246733821595
ENSMUST00000127093.1	793	471	1.2113	0.33857237332	0.854967832111523
ENSMUST00000058030.9	2797	852	0.9745	0.142093234212	0.962057987016455
ENSMUST00000035748.13	2303	1371	1.075	0.0866446162704	0.999042315964795
ENSMUST00000204464.1	2080	612	0.7306	0.0426202983236	0.658712916584538
ENSMUST00000139595.1	380	225	0.942	0.162873710483	0.229589362279749
ENSMUST00000215893.1	1521	921	0.887	-0.00384068479807	0.952636295171585
ENSMUST00000204683.1	782	480	0.9944	0.441411474102	0.864876175117837
ENSMUST00000216656.1	2476	1065	0.908	0.250379230684	0.993919989589087
ENSMUST00000207766.1	2336	1395	1.0583	0.396928744141	0.999766009852705
ENSMUST00000175909.7	390	306	1.288	0.458846460987	0.773330412702565
ENSMUST00000032823.4	2611	1782	1.1323	0.465162465381	0.999990487427797
ENSMUST00000156344.7	503	435	1.1174	0.0759418008749	0.567755515725973
ENSMUST00000206989.1	383	300	0.9676	-0.00441437160615	0.213186076681487
ENSMUST00000160070.1	291	267	1.0088	0.11643402693	0.274660327632272
ENSMUST00000135501.2	870	837	1.2856	0.448397984953	0.993311718149571
ENSMUST00000176000.1	853	741	0.8256	0.0338104708756	0.85293322799453
ENSMUST00000190760.1	231	114	1.0458	0.202137245295	0.160489152441366
